model_a,model_b,n,f1_a,f1_b,delta,boot_ci_low,boot_ci_high,boot_p,boot_sig,mcnemar_b,mcnemar_c,mcnemar_p,mcnemar_sig
align,blip,86,0.4816,0.366,0.1156,-0.0314,0.257,0.1236,False,21,26,0.5601,False
align,blip_unfrozen,86,0.4816,0.4248,0.0568,-0.0912,0.2022,0.4496,False,17,21,0.6271,False
align,clip,86,0.4816,0.5165,-0.0349,-0.1848,0.1164,0.6676,False,26,15,0.1173,False
align,clip_unfrozen,86,0.4816,0.5413,-0.0597,-0.2104,0.0896,0.4508,False,26,16,0.1641,False
align,countvec_vit,86,0.4816,0.4315,0.0501,-0.0855,0.1854,0.468,False,14,16,0.8555,False
align,flava,86,0.4816,0.2968,0.1848,0.0524,0.3162,0.0076,True,19,27,0.302,False
align,vilt,86,0.4816,0.3359,0.1457,-0.007,0.2941,0.0588,False,20,30,0.2026,False
blip,blip_unfrozen,86,0.366,0.4248,-0.0588,-0.2004,0.0797,0.4208,False,20,19,1.0,False
blip,clip,86,0.366,0.5165,-0.1505,-0.3026,0.0149,0.0716,False,26,10,0.0113,True
blip,clip_unfrozen,86,0.366,0.5413,-0.1753,-0.306,-0.039,0.0096,True,23,8,0.0107,True
blip,countvec_vit,86,0.366,0.4315,-0.0655,-0.2174,0.0918,0.4112,False,22,19,0.7552,False
blip,flava,86,0.366,0.2968,0.0692,-0.062,0.2035,0.3168,False,20,23,0.7608,False
blip,vilt,86,0.366,0.3359,0.0301,-0.098,0.1655,0.66,False,15,20,0.4996,False
blip_unfrozen,clip,86,0.4248,0.5165,-0.0917,-0.2351,0.0576,0.238,False,30,15,0.0357,True
blip_unfrozen,clip_unfrozen,86,0.4248,0.5413,-0.1165,-0.2522,0.0282,0.114,False,29,15,0.0488,True
blip_unfrozen,countvec_vit,86,0.4248,0.4315,-0.0066,-0.15,0.1388,0.9024,False,22,20,0.8776,False
blip_unfrozen,flava,86,0.4248,0.2968,0.128,-0.0005,0.25,0.052,False,17,21,0.6271,False
blip_unfrozen,vilt,86,0.4248,0.3359,0.0889,-0.0472,0.2291,0.2136,False,17,23,0.4296,False
clip,clip_unfrozen,86,0.5165,0.5413,-0.0248,-0.1335,0.0739,0.6536,False,10,11,1.0,False
clip,countvec_vit,86,0.5165,0.4315,0.085,-0.0274,0.1862,0.1288,False,7,20,0.0192,True
clip,flava,86,0.5165,0.2968,0.2197,0.083,0.3459,0.0,True,6,25,0.0009,True
clip,vilt,86,0.5165,0.3359,0.1806,0.0161,0.3409,0.0336,True,10,31,0.0015,True
clip_unfrozen,countvec_vit,86,0.5413,0.4315,0.1098,-0.0153,0.2353,0.086,False,11,23,0.0576,False
clip_unfrozen,flava,86,0.5413,0.2968,0.2445,0.1005,0.3811,0.0016,True,11,29,0.0064,True
clip_unfrozen,vilt,86,0.5413,0.3359,0.2054,0.0536,0.3531,0.0092,True,6,26,0.0005,True
countvec_vit,flava,86,0.4315,0.2968,0.1347,-0.0033,0.2673,0.0572,False,17,23,0.4296,False
countvec_vit,vilt,86,0.4315,0.3359,0.0956,-0.059,0.2526,0.2364,False,19,27,0.302,False
flava,vilt,86,0.2968,0.3359,-0.0391,-0.1576,0.0774,0.5144,False,15,17,0.8601,False
bangla_electra,banglabert,198,0.3716,0.533,-0.1615,-0.2623,-0.0631,0.0008,True,81,41,0.0004,True
bangla_electra,banglabert_frozen,198,0.3716,0.4161,-0.0445,-0.1366,0.0505,0.3568,False,59,44,0.1674,False
bangla_electra,banglabert_no_aug,198,0.3716,0.533,-0.1615,-0.2623,-0.0631,0.0008,True,81,41,0.0004,True
bangla_electra,majority,198,0.3716,0.2281,0.1434,0.0701,0.2168,0.0,True,89,60,0.0215,True
bangla_electra,mbert,198,0.3716,0.4984,-0.1269,-0.2206,-0.0328,0.008,True,65,36,0.0051,True
bangla_electra,mt5,198,0.3716,0.3671,0.0044,-0.0771,0.0901,0.9164,False,68,46,0.0487,True
bangla_electra,tfidf_logreg,198,0.3716,0.5012,-0.1297,-0.2244,-0.0343,0.01,True,73,38,0.0012,True
bangla_electra,tfidf_logreg_no_aug,198,0.3716,0.5012,-0.1297,-0.2244,-0.0343,0.01,True,73,38,0.0012,True
bangla_electra,xlmr,198,0.3716,0.4208,-0.0492,-0.14,0.0431,0.3052,False,49,39,0.3374,False
banglabert,banglabert_frozen,198,0.533,0.4161,0.1169,0.0234,0.2094,0.0188,True,30,55,0.0088,True
banglabert,banglabert_no_aug,198,0.533,0.533,0.0,0.0,0.0,1.0,False,0,0,1.0,False
banglabert,majority,198,0.533,0.2281,0.3049,0.2268,0.382,0.0,True,30,41,0.2351,False
banglabert,mbert,198,0.533,0.4984,0.0346,-0.0525,0.1267,0.4352,False,32,43,0.248,False
banglabert,mt5,198,0.533,0.3671,0.1659,0.071,0.2643,0.0008,True,34,52,0.0662,False
banglabert,tfidf_logreg,198,0.533,0.5012,0.0318,-0.0547,0.1213,0.4432,False,31,36,0.6254,False
banglabert,tfidf_logreg_no_aug,198,0.533,0.5012,0.0318,-0.0547,0.1213,0.4432,False,31,36,0.6254,False
banglabert,xlmr,198,0.533,0.4208,0.1123,0.0242,0.2022,0.0088,True,27,57,0.0014,True
banglabert_frozen,banglabert_no_aug,198,0.4161,0.533,-0.1169,-0.2094,-0.0234,0.0188,True,55,30,0.0088,True
